time_s,gw,A->B,A->C,A->D,B->A,B->C,B->D,C->A,C->B,C->D,D->A,D->B,D->C
2.2,B,-55,-66,-53,-58,-65,-63,-66,-69,-56,-56,-67,-55
2.3,B,-61,-61,-57,-58,-68,-68,-62,-66,-58,-56,-63,-55
2.4,B,-59,-67,-58,-61,-69,-66,-66,-68,-59,-56,-65,-56
2.5,B,-58,-62,-57,-55,-65,-69,-61,-65,-60,-56,-63,-55
2.6,B,-58,-66,-56,-55,-65,-67,-67,-64,-55,-56,-66,-57
2.7,B,-56,-66,-58,-60,-70,-68,-63,-67,-54,-54,-68,-56
2.8,B,-58,-62,-57,-60,-66,-65,-66,-70,-60,-53,-64,-55
2.9,B,-57,-62,-58,-58,-64,-68,-61,-64,-59,-59,-67,-59
3.0,B,-57,-66,-53,-57,-68,-67,-63,-67,-54,-58,-69,-55
3.1,B,-58,-62,-55,-55,-66,-66,-61,-66,-59,-55,-68,-56
3.2,B,-61,-61,-56,-55,-69,-65,-67,-64,-54,-58,-68,-59
3.3,B,-57,-62,-59,-57,-70,-67,-62,-66,-56,-55,-66,-54
3.4,B,-57,-67,-58,-60,-68,-69,-61,-70,-56,-56,-65,-60
3.5,B,-58,-65,-55,-57,-66,-65,-66,-65,-58,-56,-65,-56
3.6,B,-57,-66,-54,-57,-68,-65,-66,-64,-57,-58,-66,-60
3.7,B,-58,-65,-59,-56,-69,-66,-67,-69,-55,-57,-63,-60
3.8,B,-56,-62,-54,-59,-69,-67,-66,-67,-59,-54,-69,-57
3.9,B,-60,-62,-53,-60,-69,-64,-64,-66,-57,-57,-66,-59
4.0,B,-59,-67,-54,-59,-70,-67,-63,-67,-57,-54,-69,-57
4.1,B,-57,-63,-57,-57,-70,-69,-61,-69,-60,-59,-67,-58
4.2,B,-55,-66,-57,-55,-69,-63,-64,-64,-55,-53,-67,-57
4.3,B,-57,-63,-55,-58,-65,-67,-67,-68,-60,-53,-64,-59
4.4,B,-61,-65,-59,-56,-70,-63,-65,-70,-56,-53,-68,-60
4.5,B,-55,-67,-56,-61,-68,-65,-64,-68,-56,-58,-69,-56
4.6,B,-61,-66,-57,-61,-69,-68,-65,-65,-58,-55,-63,-59
4.7,B,-58,-63,-54,-60,-68,-67,-61,-70,-58,-59,-69,-60
4.8,B,-57,-66,-55,-58,-69,-66,-67,-65,-54,-54,-66,-55
4.9,B,-57,-61,-56,-57,-68,-64,-66,-69,-58,-58,-63,-55
5.0,B,-60,-64,-57,-61,-64,-68,-67,-70,-55,-54,-67,-57
5.1,B,-61,-67,-54,-55,-67,-63,-63,-65,-58,-55,-68,-55
5.2,B,-61,-64,-58,-60,-68,-66,-67,-68,-58,-57,-65,-58
5.3,B,-61,-65,-58,-59,-69,-69,-65,-67,-60,-56,-67,-56
5.4,B,-60,-66,-55,-55,-70,-69,-65,-64,-60,-58,-66,-56
5.5,B,-58,-67,-57,-59,-65,-68,-67,-66,-56,-53,-63,-59
5.6,B,-58,-61,-57,-56,-67,-68,-65,-65,-56,-54,-68,-60
5.7,B,-56,-64,-54,-56,-64,-65,-66,-66,-54,-55,-65,-54
5.8,B,-55,-62,-55,-55,-65,-64,-62,-65,-59,-59,-69,-60
5.9,B,-56,-65,-59,-58,-64,-66,-63,-70,-55,-59,-64,-56
6.0,B,-58,-65,-59,-58,-64,-69,-62,-66,-56,-59,-64,-56
6.1,B,-56,-62,-56,-59,-64,-69,-61,-68,-59,-54,-63,-59
6.2,B,-56,-62,-56,-58,-64,-66,-67,-67,-55,-57,-63,-60
6.3,B,-56,-62,-58,-61,-66,-68,-65,-68,-55,-54,-64,-58
6.4,B,-57,-66,-59,-58,-70,-66,-65,-65,-60,-54,-68,-55
6.5,B,-59,-62,-55,-59,-67,-66,-64,-64,-60,-55,-68,-58
6.6,B,-58,-67,-57,-58,-70,-63,-63,-67,-58,-56,-68,-59
6.7,B,-57,-67,-58,-56,-66,-67,-65,-69,-56,-53,-64,-56
6.8,B,-61,-62,-57,-60,-67,-66,-64,-70,-59,-59,-66,-55
6.9,B,-58,-65,-54,-60,-67,-67,-64,-68,-60,-53,-67,-60
7.0,B,-55,-65,-53,-58,-70,-68,-62,-70,-55,-57,-67,-58
7.1,B,-58,-64,-53,-57,-70,-67,-64,-64,-58,-53,-69,-58
7.2,B,-61,-61,-54,-59,-65,-68,-66,-68,-57,-55,-67,-59
7.3,B,-55,-64,-59,-55,-64,-64,-64,-66,-56,-58,-64,-60
7.4,B,-56,-64,-56,-57,-64,-68,-62,-64,-58,-56,-69,-56
7.5,B,-60,-64,-56,-59,-68,-67,-65,-65,-55,-54,-67,-57
7.6,B,-60,-65,-56,-57,-65,-66,-67,-69,-55,-58,-69,-59
7.7,B,-55,-64,-55,-60,-67,-67,-61,-67,-57,-58,-65,-59
7.8,B,-61,-66,-57,-57,-70,-67,-66,-68,-58,-53,-65,-59
7.9,B,-56,-61,-56,-58,-67,-64,-63,-69,-57,-57,-67,-54
8.0,B,-58,-65,-55,-59,-69,-64,-63,-66,-55,-53,-63,-54
8.1,B,-61,-65,-58,-58,-67,-64,-64,-67,-58,-53,-63,-54
8.2,B,-60,-67,-56,-56,-64,-63,-64,-66,-57,-59,-69,-57
8.3,B,-55,-64,-56,-60,-64,-69,-66,-69,-59,-55,-64,-60
8.4,B,-55,-61,-56,-61,-66,-63,-67,-70,-54,-58,-68,-56
8.5,B,-56,-62,-57,-60,-65,-67,-63,-65,-57,-54,-63,-60
8.6,B,-61,-65,-55,-57,-69,-66,-65,-69,-54,-55,-69,-60
8.7,B,-59,-64,-57,-59,-65,-63,-66,-67,-56,-58,-65,-59
8.8,B,-58,-62,-54,-59,-70,-69,-66,-67,-55,-54,-66,-60
8.9,B,-60,-62,-56,-59,-69,-66,-67,-65,-58,-54,-66,-58
9.0,B,-60,-67,-53,-59,-65,-63,-63,-70,-59,-56,-68,-58
9.1,B,-60,-64,-58,-59,-64,-67,-67,-66,-57,-55,-68,-59
9.2,B,-58,-62,-59,-57,-69,-66,-67,-69,-60,-55,-68,-57
9.3,B,-56,-67,-58,-58,-67,-64,-65,-65,-60,-59,-68,-58
9.4,B,-60,-62,-55,-56,-67,-69,-65,-65,-55,-56,-63,-58
9.5,B,-58,-66,-59,-61,-70,-67,-67,-68,-57,-59,-65,-54
9.6,B,-58,-65,-53,-55,-68,-63,-61,-67,-60,-59,-64,-57
9.7,B,-59,-63,-56,-60,-68,-67,-62,-67,-60,-54,-66,-59
9.8,B,-55,-64,-59,-58,-70,-66,-67,-64,-60,-57,-68,-55
9.9,B,-57,-65,-57,-59,-68,-65,-67,-68,-55,-54,-64,-58
10.0,B,-59,-67,-54,-55,-66,-63,-62,-70,-60,-53,-68,-60
10.1,B,-56,-64,-53,-58,-64,-67,-64,-64,-57,-58,-66,-59
10.2,B,-55,-62,-57,-55,-65,-63,-66,-66,-59,-57,-63,-58
10.3,B,-59,-61,-53,-57,-70,-65,-66,-67,-54,-58,-68,-57
10.4,B,-56,-67,-56,-57,-66,-67,-66,-67,-60,-59,-67,-56
10.5,B,-60,-67,-56,-58,-65,-66,-66,-69,-59,-56,-66,-56
10.6,B,-56,-63,-53,-55,-65,-63,-67,-64,-54,-57,-67,-58
10.7,B,-59,-65,-57,-56,-68,-68,-64,-69,-59,-58,-68,-59
10.8,B,-57,-66,-57,-61,-67,-67,-66,-66,-56,-58,-64,-54
10.9,B,-56,-64,-59,-61,-70,-66,-61,-69,-54,-56,-67,-60
11.0,B,-60,-67,-59,-60,-66,-63,-63,-69,-60,-57,-65,-54
11.1,B,-58,-63,-57,-55,-64,-64,-67,-70,-55,-55,-64,-56
11.2,B,-60,-67,-57,-59,-69,-69,-66,-68,-60,-55,-64,-55
11.3,B,-55,-67,-53,-59,-67,-64,-65,-69,-56,-57,-69,-59
11.4,B,-55,-64,-55,-58,-70,-66,-67,-64,-57,-54,-65,-59
11.5,B,-57,-67,-54,-60,-67,-64,-65,-67,-58,-54,-67,-57
11.6,B,-59,-62,-55,-59,-67,-66,-67,-64,-54,-53,-67,-55
11.7,B,-58,-62,-56,-60,-70,-66,-66,-67,-60,-53,-69,-57
11.8,B,-59,-64,-53,-60,-69,-69,-67,-66,-59,-54,-63,-57
11.9,B,-57,-63,-57,-56,-66,-68,-66,-68,-58,-58,-65,-59
12.0,B,-61,-64,-56,-55,-64,-63,-61,-69,-58,-58,-63,-60
12.1,B,-59,-67,-55,-56,-67,-69,-62,-66,-55,-53,-68,-55
12.2,B,-57,-64,-55,-55,-69,-63,-64,-69,-56,-58,-69,-57
12.3,B,-60,-64,-57,-61,-69,-68,-62,-64,-59,-59,-65,-54
12.4,B,-56,-61,-57,-61,-67,-65,-64,-66,-54,-54,-63,-58
12.5,B,-58,-65,-55,-60,-67,-66,-62,-68,-57,-55,-66,-59
12.6,B,-61,-63,-56,-58,-69,-66,-61,-66,-54,-53,-66,-54
12.7,B,-55,-64,-56,-61,-70,-68,-65,-67,-58,-59,-63,-57
12.8,B,-57,-62,-59,-61,-65,-68,-67,-65,-58,-53,-64,-56
12.9,B,-61,-61,-55,-58,-65,-63,-66,-70,-54,-59,-65,-55
13.0,B,-60,-66,-56,-59,-64,-63,-66,-65,-54,-54,-68,-60
13.1,B,-57,-61,-57,-60,-68,-65,-65,-64,-57,-58,-67,-56
13.2,B,-60,-63,-57,-57,-66,-68,-65,-68,-60,-58,-68,-57
13.3,B,-56,-65,-54,-59,-67,-68,-61,-64,-58,-59,-63,-56
13.4,B,-56,-61,-57,-55,-67,-65,-63,-66,-55,-59,-67,-56
13.5,B,-55,-64,-54,-55,-68,-67,-64,-68,-56,-58,-67,-58
13.6,B,-58,-66,-58,-57,-65,-69,-65,-64,-56,-57,-67,-55
13.7,B,-56,-65,-54,-61,-65,-69,-66,-69,-58,-55,-64,-57
13.8,B,-57,-65,-59,-60,-67,-68,-63,-65,-60,-59,-69,-60
13.9,B,-59,-65,-59,-57,-68,-65,-66,-67,-56,-57,-65,-59
14.0,B,-59,-63,-53,-58,-69,-68,-67,-64,-59,-54,-68,-57
14.1,B,-61,-62,-58,-55,-65,-63,-65,-67,-54,-57,-69,-60
14.2,B,-55,-63,-57,-57,-65,-65,-64,-66,-56,-54,-66,-59
14.3,B,-61,-67,-59,-57,-70,-66,-66,-69,-59,-59,-63,-60
14.4,B,-57,-63,-54,-60,-69,-66,-66,-66,-56,-54,-65,-55
14.5,B,-58,-61,-55,-60,-66,-67,-67,-68,-55,-59,-64,-54
14.6,B,-56,-63,-59,-58,-64,-66,-62,-67,-60,-54,-64,-57
14.7,B,-60,-67,-57,-60,-65,-69,-67,-68,-55,-54,-63,-58
14.8,B,-59,-62,-55,-56,-67,-64,-61,-66,-58,-57,-64,-59
14.9,B,-57,-67,-58,-59,-69,-63,-62,-69,-59,-54,-67,-59
15.0,B,-59,-63,-58,-58,-64,-64,-62,-65,-54,-55,-66,-57
15.1,B,-56,-67,-53,-61,-67,-64,-66,-66,-58,-53,-68,-57
15.2,B,-57,-67,-55,-60,-69,-69,-67,-70,-60,-55,-68,-58
15.3,B,-56,-67,-59,-61,-69,-64,-62,-65,-60,-54,-69,-55
15.4,B,-61,-61,-55,-55,-68,-68,-61,-64,-56,-54,-69,-54
15.5,B,-61,-66,-58,-60,-70,-69,-67,-64,-54,-53,-64,-60
15.6,B,-56,-65,-56,-61,-69,-69,-61,-64,-55,-58,-67,-58
15.7,B,-58,-65,-59,-59,-68,-67,-67,-65,-54,-57,-67,-54
15.8,B,-57,-64,-53,-59,-66,-64,-67,-64,-57,-59,-66,-56
15.9,B,-59,-64,-54,-61,-66,-65,-66,-65,-54,-53,-69,-56
16.0,B,-60,-64,-59,-57,-69,-67,-61,-64,-60,-59,-67,-57
16.1,B,-58,-62,-53,-55,-69,-66,-63,-68,-54,-55,-67,-56
16.2,B,-59,-61,-58,-56,-69,-66,-66,-70,-55,-53,-69,-57
16.3,B,-55,-67,-54,-59,-68,-69,-64,-67,-55,-59,-66,-55
16.4,B,-59,-66,-57,-59,-67,-65,-63,-69,-57,-54,-68,-57
16.5,B,-57,-63,-53,-56,-64,-65,-62,-70,-58,-55,-67,-56
16.6,B,-55,-61,-56,-56,-66,-64,-65,-69,-57,-56,-64,-54
16.7,B,-57,-66,-58,-59,-67,-64,-62,-69,-56,-58,-67,-58
16.8,B,-60,-62,-58,-60,-65,-67,-63,-66,-58,-58,-68,-58
16.9,B,-59,-62,-59,-60,-65,-69,-66,-67,-59,-58,-63,-58
17.0,B,-58,-65,-58,-61,-65,-69,-65,-69,-57,-56,-69,-60
17.1,B,-55,-61,-56,-56,-69,-65,-62,-68,-57,-59,-68,-58
17.2,B,-56,-64,-59,-56,-69,-63,-64,-65,-56,-55,-64,-55
17.3,B,-55,-66,-54,-56,-65,-63,-62,-65,-56,-53,-68,-55
17.4,B,-56,-67,-56,-58,-68,-67,-62,-65,-60,-56,-68,-54
17.5,B,-56,-62,-54,-60,-68,-63,-64,-67,-57,-59,-65,-54
17.6,B,-57,-62,-54,-55,-69,-64,-65,-64,-60,-56,-63,-57
17.7,B,-61,-65,-55,-60,-69,-64,-61,-69,-56,-57,-69,-54
17.8,B,-58,-63,-58,-56,-67,-65,-67,-65,-54,-53,-67,-56
17.9,B,-58,-62,-56,-60,-65,-68,-64,-66,-54,-59,-64,-56
18.0,B,-56,-67,-57,-59,-67,-66,-67,-70,-60,-56,-66,-55
18.1,B,-57,-65,-59,-60,-68,-64,-64,-66,-59,-53,-66,-57
18.2,B,-60,-66,-53,-61,-64,-63,-62,-69,-57,-54,-65,-55
18.3,B,-55,-66,-57,-56,-65,-63,-61,-64,-54,-56,-66,-58
18.4,B,-56,-66,-53,-55,-67,-67,-61,-64,-59,-57,-64,-57
18.5,B,-58,-62,-58,-58,-70,-63,-62,-64,-58,-57,-68,-55
18.6,B,-59,-64,-56,-58,-66,-64,-67,-65,-58,-58,-67,-54
18.7,B,-61,-67,-53,-57,-68,-63,-66,-66,-54,-57,-64,-56
18.8,B,-56,-67,-58,-61,-65,-67,-65,-66,-60,-55,-68,-54
18.9,B,-60,-61,-56,-59,-64,-68,-66,-67,-54,-55,-68,-56
19.0,B,-55,-67,-54,-57,-64,-64,-61,-68,-59,-56,-64,-59
19.1,B,-61,-62,-53,-58,-65,-69,-63,-70,-58,-56,-68,-54
19.2,B,-58,-64,-55,-61,-67,-66,-66,-65,-57,-58,-66,-59
19.3,B,-57,-61,-54,-61,-69,-63,-65,-67,-55,-55,-66,-55
19.4,B,-55,-64,-57,-58,-67,-64,-67,-69,-55,-57,-64,-55
19.5,B,-61,-63,-59,-56,-65,-67,-61,-70,-56,-56,-66,-54
19.6,B,-61,-66,-54,-58,-65,-68,-65,-70,-54,-54,-67,-58
19.7,B,-55,-63,-55,-55,-69,-67,-64,-68,-57,-57,-65,-60
19.8,B,-59,-65,-53,-58,-67,-67,-63,-68,-54,-55,-67,-59
19.9,B,-58,-61,-59,-59,-69,-67,-62,-68,-59,-55,-64,-60
20.0,B,-73,-62,-55,-73,-66,-65,-67,-67,-58,-59,-69,-60
20.1,B,-70,-64,-55,-70,-65,-69,-61,-66,-56,-55,-66,-56
20.2,B,-71,-62,-54,-71,-66,-64,-67,-69,-60,-54,-64,-57
20.3,B,-70,-66,-59,-71,-69,-63,-67,-67,-54,-59,-64,-60
20.4,B,-70,-61,-58,-70,-68,-65,-62,-68,-54,-57,-68,-57
20.5,B,-74,-67,-56,-72,-65,-65,-67,-67,-56,-55,-69,-54
20.6,B,-70,-61,-56,-72,-65,-66,-64,-70,-60,-54,-66,-56
20.7,B,-71,-66,-56,-70,-67,-65,-67,-70,-55,-56,-68,-59
20.8,B,-76,-64,-59,-76,-65,-64,-67,-64,-60,-58,-63,-60
20.9,B,-73,-67,-57,-71,-66,-68,-64,-65,-55,-58,-69,-58
21.0,B,-71,-61,-59,-74,-65,-65,-62,-67,-57,-54,-67,-60
21.1,B,-76,-67,-59,-71,-65,-63,-63,-70,-57,-57,-67,-55
21.2,B,-75,-61,-53,-73,-66,-69,-65,-68,-56,-54,-66,-57
21.3,B,-75,-61,-59,-74,-65,-68,-62,-64,-57,-56,-66,-54
21.4,B,-74,-61,-53,-72,-68,-67,-65,-70,-56,-54,-64,-54
21.5,B,-74,-61,-55,-71,-70,-63,-66,-66,-54,-57,-65,-57
21.6,B,-73,-64,-54,-73,-66,-63,-66,-64,-57,-57,-64,-60
21.7,B,-74,-65,-56,-75,-66,-63,-61,-64,-60,-57,-63,-59
21.8,B,-75,-65,-53,-70,-64,-65,-62,-64,-57,-57,-65,-60
21.9,B,-72,-64,-53,-73,-69,-63,-61,-65,-59,-57,-65,-60
22.0,B,-73,-62,-58,-74,-66,-63,-67,-64,-57,-56,-65,-60
22.1,B,-70,-65,-53,-76,-69,-66,-63,-66,-58,-53,-65,-58
22.2,B,-72,-63,-58,-75,-69,-68,-67,-69,-54,-54,-67,-58
22.3,B,-72,-65,-56,-70,-66,-63,-66,-69,-60,-56,-67,-54
22.4,B,-74,-62,-56,-70,-70,-68,-65,-66,-60,-57,-67,-56
22.5,B,-76,-67,-59,-75,-64,-63,-63,-67,-56,-55,-68,-58
22.6,B,-73,-67,-56,-70,-66,-63,-63,-69,-58,-53,-69,-58
22.7,B,-75,-64,-59,-76,-70,-69,-63,-68,-54,-54,-66,-57
22.8,B,-70,-63,-54,-73,-70,-64,-67,-68,-58,-55,-68,-55
22.9,B,-71,-63,-56,-75,-67,-63,-66,-68,-59,-54,-68,-59
23.0,B,-74,-65,-59,-72,-70,-63,-67,-68,-54,-55,-64,-55
23.1,B,-70,-64,-59,-76,-69,-67,-61,-70,-59,-54,-64,-58
23.2,B,-72,-64,-53,-71,-70,-66,-65,-68,-58,-56,-69,-58
23.3,B,-73,-66,-56,-75,-64,-68,-62,-70,-57,-54,-68,-54
23.4,B,-75,-61,-58,-76,-66,-63,-65,-65,-59,-53,-66,-60
23.5,B,-70,-67,-54,-76,-67,-67,-65,-64,-59,-56,-69,-55
23.6,B,-75,-65,-58,-71,-70,-68,-62,-67,-56,-58,-66,-54
23.7,B,-74,-64,-56,-75,-69,-69,-65,-66,-54,-57,-67,-54
23.8,B,-74,-64,-59,-74,-67,-66,-67,-69,-56,-59,-64,-54
23.9,B,-72,-64,-53,-74,-70,-67,-61,-69,-58,-56,-67,-59
24.0,B,-76,-64,-57,-73,-69,-69,-61,-65,-58,-58,-64,-60
24.1,B,-70,-63,-57,-72,-69,-66,-67,-64,-54,-55,-67,-59
24.2,B,-73,-67,-56,-75,-68,-65,-66,-69,-54,-58,-65,-54
24.3,B,-71,-66,-58,-72,-70,-63,-67,-66,-55,-56,-63,-58
24.4,B,-75,-66,-55,-71,-65,-64,-61,-69,-56,-57,-68,-60
24.5,B,-71,-62,-55,-73,-64,-64,-67,-66,-54,-57,-67,-58
24.6,B,-70,-64,-59,-76,-67,-63,-64,-69,-54,-54,-67,-59
24.7,B,-72,-61,-57,-76,-69,-64,-65,-66,-56,-53,-69,-58
24.8,B,-73,-63,-59,-76,-68,-64,-66,-64,-54,-53,-67,-54
24.9,B,-72,-61,-59,-74,-64,-69,-62,-67,-57,-55,-69,-56
25.0,B,-60,-67,-58,-61,-69,-65,-66,-69,-60,-57,-67,-56
25.1,B,-61,-67,-54,-56,-69,-67,-67,-64,-56,-54,-65,-57
25.2,B,-60,-62,-56,-61,-68,-63,-67,-65,-59,-59,-67,-60
25.3,B,-58,-63,-55,-55,-68,-69,-67,-70,-57,-58,-65,-56
25.4,B,-55,-66,-58,-56,-66,-66,-62,-67,-59,-53,-69,-55
25.5,B,-56,-64,-55,-55,-66,-65,-67,-67,-60,-53,-67,-58
25.6,B,-60,-61,-57,-56,-67,-63,-63,-64,-58,-53,-66,-54
25.7,B,-61,-65,-55,-60,-65,-67,-66,-64,-57,-54,-64,-60
25.8,B,-61,-63,-58,-61,-68,-66,-66,-66,-55,-59,-68,-59
25.9,B,-58,-61,-56,-56,-70,-63,-67,-70,-54,-54,-65,-58
26.0,B,-59,-62,-55,-55,-70,-65,-67,-68,-60,-55,-69,-57
26.1,B,-61,-65,-59,-59,-68,-64,-66,-70,-60,-55,-65,-58
26.2,B,-58,-63,-55,-60,-67,-69,-63,-69,-58,-56,-65,-58
26.3,B,-60,-62,-59,-56,-66,-67,-61,-67,-56,-54,-65,-59
26.4,B,-58,-66,-55,-56,-68,-66,-63,-68,-56,-56,-66,-54
26.5,B,-61,-66,-57,-60,-69,-65,-63,-67,-56,-56,-69,-58
26.6,B,-55,-66,-57,-57,-68,-66,-65,-68,-59,-57,-69,-54
26.7,B,-60,-63,-59,-57,-64,-67,-64,-65,-60,-55,-66,-54
26.8,B,-59,-62,-53,-61,-66,-68,-62,-65,-59,-56,-67,-55
26.9,B,-60,-62,-58,-57,-66,-63,-65,-64,-54,-55,-69,-55
27.0,B,-59,-61,-54,-56,-65,-64,-66,-67,-54,-59,-69,-57
27.1,B,-57,-67,-56,-58,-66,-68,-64,-64,-54,-57,-63,-56
27.2,B,-61,-64,-53,-58,-65,-66,-65,-65,-58,-57,-67,-57
27.3,B,-57,-63,-56,-56,-68,-69,-61,-65,-54,-56,-66,-57
27.4,B,-60,-63,-57,-55,-69,-66,-63,-67,-56,-58,-69,-54
27.5,B,-59,-61,-55,-55,-69,-67,-66,-67,-60,-59,-69,-58
27.6,B,-58,-65,-55,-55,-68,-65,-63,-67,-56,-53,-65,-55
27.7,B,-58,-64,-57,-61,-66,-64,-65,-67,-60,-54,-69,-56
27.8,B,-61,-64,-57,-57,-67,-64,-63,-66,-59,-58,-66,-57
27.9,B,-58,-61,-55,-57,-68,-64,-63,-65,-54,-59,-68,-58
28.0,B,-59,-67,-53,-59,-66,-68,-67,-65,-58,-54,-67,-54
28.1,B,-58,-62,-58,-57,-68,-63,-63,-69,-56,-58,-66,-59
28.2,B,-56,-63,-55,-61,-68,-65,-62,-65,-55,-59,-64,-57
28.3,B,-55,-67,-57,-56,-65,-65,-67,-68,-57,-53,-69,-56
28.4,B,-56,-67,-58,-60,-67,-63,-63,-66,-58,-53,-64,-56
28.5,B,-60,-63,-58,-58,-66,-69,-66,-69,-56,-53,-65,-60
28.6,B,-61,-67,-58,-57,-67,-63,-64,-66,-57,-53,-63,-60
28.7,B,-61,-62,-53,-57,-68,-68,-62,-69,-58,-57,-68,-60
28.8,B,-56,-67,-53,-57,-70,-67,-66,-67,-56,-56,-69,-60
28.9,B,-58,-63,-53,-61,-67,-69,-63,-69,-59,-58,-69,-59
29.0,B,-55,-66,-57,-61,-64,-63,-64,-68,-57,-55,-67,-57
29.1,B,-60,-62,-56,-56,-65,-65,-66,-67,-58,-56,-64,-57
29.2,B,-55,-61,-58,-61,-69,-68,-65,-67,-59,-59,-67,-57
29.3,B,-59,-67,-57,-57,-64,-66,-65,-67,-55,-59,-69,-57
29.4,B,-57,-66,-56,-60,-67,-67,-65,-69,-57,-59,-67,-55
29.5,B,-59,-61,-58,-60,-65,-68,-67,-69,-58,-55,-63,-54
29.6,B,-57,-64,-56,-55,-64,-63,-66,-69,-58,-57,-68,-55
29.7,B,-58,-62,-55,-60,-68,-66,-63,-69,-59,-53,-66,-55
29.8,B,-56,-65,-55,-58,-66,-67,-63,-69,-57,-55,-65,-59
29.9,B,-55,-61,-59,-56,-66,-69,-63,-64,-58,-54,-63,-54
30.0,B,-61,-62,-54,-57,-69,-67,-67,-67,-55,-59,-64,-59
30.1,B,-59,-66,-54,-61,-70,-65,-65,-64,-56,-53,-67,-59
30.2,B,-56,-65,-59,-60,-68,-68,-61,-65,-57,-57,-67,-57
30.3,B,-55,-62,-54,-55,-64,-68,-65,-69,-60,-57,-64,-54
30.4,B,-58,-67,-54,-56,-65,-66,-66,-64,-57,-57,-64,-60
30.5,B,-59,-67,-57,-57,-65,-68,-62,-65,-60,-56,-69,-56
30.6,B,-58,-66,-53,-59,-69,-66,-62,-70,-56,-57,-64,-55
30.7,B,-57,-61,-58,-57,-67,-64,-63,-68,-57,-54,-64,-56
30.8,B,-61,-67,-53,-55,-64,-64,-65,-70,-54,-55,-65,-55
30.9,B,-60,-62,-59,-61,-64,-67,-66,-64,-58,-54,-69,-57
31.0,B,-56,-63,-53,-60,-68,-65,-67,-68,-57,-56,-67,-55
31.1,B,-56,-62,-53,-55,-65,-64,-64,-66,-60,-54,-64,-59
31.2,B,-56,-63,-53,-55,-69,-66,-61,-69,-60,-54,-63,-54
31.3,B,-59,-66,-55,-60,-64,-64,-66,-66,-58,-58,-69,-59
31.4,B,-59,-64,-59,-60,-65,-67,-66,-69,-55,-54,-66,-55
31.5,B,-60,-62,-58,-61,-66,-64,-64,-69,-55,-57,-64,-58
31.6,B,-56,-66,-55,-57,-69,-67,-62,-64,-60,-55,-66,-54
31.7,B,-56,-62,-58,-57,-67,-63,-61,-67,-54,-58,-69,-55
31.8,B,-61,-65,-56,-60,-70,-69,-65,-68,-59,-59,-64,-58
31.9,B,-61,-66,-57,-58,-67,-65,-65,-68,-59,-55,-69,-60
32.0,B,-58,-61,-56,-61,-65,-64,-65,-65,-56,-57,-69,-55
32.1,B,-58,-64,-58,-55,-66,-67,-67,-68,-60,-54,-67,-55
32.2,B,-56,-62,-54,-59,-65,-68,-67,-69,-55,-59,-69,-54
32.3,B,-55,-66,-57,-59,-69,-64,-63,-64,-55,-58,-69,-54
32.4,B,-56,-63,-57,-58,-69,-64,-61,-68,-58,-58,-67,-59
32.5,B,-59,-61,-53,-59,-69,-69,-67,-70,-56,-53,-64,-54
32.6,B,-61,-66,-56,-58,-67,-64,-66,-68,-56,-55,-64,-60
32.7,B,-56,-66,-58,-60,-67,-64,-64,-70,-60,-53,-66,-57
32.8,B,-60,-62,-57,-61,-70,-63,-63,-64,-54,-53,-65,-57
32.9,B,-59,-67,-54,-61,-66,-64,-64,-68,-60,-56,-69,-55
